Name,day-wage,start-day,end-day
EMMANUEL,19.16,14,26
RAHMA,23.80,14,33
ALIF,27.85,1,10
JAVOHIR,34.43,12,27
NAKIB,25.71,9,34
SAQIF,29.22,6,12
ZARIN,22.31,6,21
MENDAKA BINETH,16.75,2,13
AHNAF,34.81,2,26
ABDAL,22.68,14,27
DANIEL,22.91,6,23
JOSEPH,17.37,4,20
SEBASTIAN,28.01,10,32
AIDEN,19.89,1,27
TOMAS,29.36,8,23
MCKENNA,28.40,8,22
LUCA,33.56,4,22
INIKA,24.99,13,29
RIDDHI,25.48,12,20
SATVIK,17.96,5,26
SUHANI,34.22,9,24
HARMAN,32.39,1,8
ABEIR,25.53,1,29
AFSANA,24.58,8,14
ALVEE,29.85,14,25
AMMAR,15.92,2,21
ANAS,27.72,11,26
EBTESHAM,18.33,4,30
ETIHA,20.08,14,22
JUBAYER,28.31,5,32
MYSHA,21.04,2,16
RAHIL,23.09,11,14
SADAT,31.86,8,10
SAIFAN,33.40,2,15
SHAFWAN,28.39,9,31
TAHSIN,17.55,14,34
SUSANNAH,16.24,5,15
MASRUR,20.05,6,11
DIANA,19.01,11,31
TOLAN,20.24,13,18
SAJIDA,30.04,5,33
KANIZ,24.84,12,33
SAMEEHA,22.26,14,19
NICOLE,28.95,11,22
ABDULLAH,15.27,9,16
AL FARDIL,17.86,6,14
ALFAYED,33.60,4,24
IHSAAN,22.68,2,31
JENNIFER,18.66,13,19
MAHEEN,19.31,14,28
MASHFEE,33.23,6,33
NIHAL,32.67,6,24
SAFIKA,27.88,11,30
SAMIN,24.18,14,21
SANJANA,19.72,12,34
ALISA,26.14,12,16
MOHAMMAD,21.51,1,30
SURAIA,22.64,5,27
SYED,20.81,4,23
TASNIM,16.59,2,29
ALEC,24.60,2,6
RIAN,29.29,1,31
SHEIKH,24.36,2,14
SAMID,19.50,2,26
KAUSAR,15.26,2,33
BRIGID,26.78,7,14
RAYMOND,24.78,10,26
SOFIA,17.17,4,11
UMAIR,18.73,4,8
AMEER,22.61,6,16
ALEJANDRO,25.04,6,19
AYA,28.98,2,5
KATE,21.17,12,31
CAMILO,18.35,14,28
ANIKAH,21.35,8,30
REILLY,18.55,6,29
ANIKA,33.28,6,27
HEVIN,16.83,9,29
RAISA,26.52,9,21
SABIHA,21.32,8,19
YOUSEF,15.46,7,17
JULIA,27.66,8,16
XIAN JUN,28.42,1,22
SHRIYA,22.76,2,7
KAPIL,18.40,4,29
MADELEINE,28.71,8,11
AMANE,18.57,1,4
CASSANDRA,24.25,7,17
CULLEN,29.09,9,33
SPENCER,28.66,9,15
ETHAN,32.37,8,26
MAYA,18.21,13,30
RICARDO,18.94,12,17
IFFAT,31.43,1,10
MISA,19.97,14,20
NOSHIN,18.35,12,28
RIONA,31.34,4,16
RESHMI,32.56,14,25
SHAON,20.72,11,14
LUCAS,31.87,6,12
MARY ESTHER,16.93,13,21
ENRIQUE,25.82,12,28
NORA,25.37,3,11
EMILY,33.96,2,30
ALLEN,24.53,12,17
RAHEL,18.75,6,26
NOAKAI,16.08,5,12
FARAJ,22.14,12,32
MALEMNGANBA,31.11,3,23
QAZI,33.36,9,14
ANNA,15.92,5,13
KONSTANTIN,28.17,13,27
SAJIA,32.83,5,16
SONIA,26.39,5,25
JABARI,22.30,3,28
ELWIN,34.14,12,26
FLORA,20.79,12,14
RIASAT,22.69,7,24
FRANCISCO,30.67,9,14
TAHIA,25.72,3,9
KHIN,19.64,7,19
YARZA,28.68,11,27
ADAM,20.43,2,20
INOUR,15.18,4,34
ARSLAN,16.04,3,8
LAMISA,26.02,10,27
YUSHA,29.68,3,26
HARRY,29.75,11,19
MATTHEW,26.89,1,3
HENRY,28.67,9,22
SOO JEONG,23.89,6,15
ATTICUS,23.12,9,23
GRACE,31.77,14,30
FATIMA,26.28,12,28
LAITH,20.66,5,15
SAAD,23.04,4,18
NIKITA,31.11,14,20
JIAYI,25.97,11,14
RHEA,24.28,3,19
KATELAN,32.27,2,21
BENJAMIN,18.95,6,11
LUCY,15.13,9,30
REBECCA,28.23,11,25
YIHAN,29.46,5,7
JAKE,22.71,14,19
AFM,22.99,11,22
BERNADETTE,16.24,12,21
ALTHEA,25.63,13,34
SADOU,31.73,6,24
PAULINE,20.21,13,23
AISHWARJYA,32.62,6,8
PRITOM,33.86,12,24
SUDIPTA,19.52,14,17
ABINASH,20.26,1,29
XAEL,32.84,3,9
LIAM,19.39,3,30
RAVESH,15.77,11,33
SARITA,34.26,11,33
ATHAI,22.82,2,20
AMELIA,31.67,11,20
SAMUEL,23.57,2,15
PAUL,24.60,12,28
FELIX,17.32,3,9
CAITLIN,31.13,12,20
ASMA,25.79,13,27
SEBASTIEN,32.43,11,15
DINAH-LUBA,15.14,4,7
ALEXIS,29.37,10,22
IRAVAN,34.88,11,23
MUIZZ,34.34,10,20
RAYYAN,22.44,3,27
SUBHA,30.89,10,34
ZARA,32.26,8,15
DONALD,34.07,4,6
AFIA,19.35,5,13
NAFISA,18.63,9,30
JAYA,21.48,6,24
ANDREW,15.46,10,30
NAMERA,33.57,10,17
SIMON,19.77,2,22
KRIPAMOYE,29.10,8,11
SREJON,19.63,8,17
ELIZABETH,16.58,2,20
ROLAND,30.22,10,23
ANTHONY,21.80,4,17
EVA,16.70,11,21
CHLOE,20.16,1,19
ADELE,15.28,13,23
SUNJUNG,16.07,9,34
GIRIDHAR,15.98,11,27
MICHAEL,31.96,10,30
ELLIOT,26.31,2,23
ANWESA,22.65,10,16
DECLAN,26.92,4,16
OSCAR,23.30,10,32
CHANIYAH ANGELA,19.45,4,23
AMANDA,19.57,11,18
ELIZABETH EUGEN,31.42,7,28
LUCINDA,20.46,5,32
PHOEBE,28.92,1,26
CHRIS,32.78,1,3
ZOYA,28.84,2,15
EDWARD,30.84,4,28
EMMA,29.85,3,21
JULIET,24.87,14,33
ALEXANDRA,28.20,10,20
LOGAN,16.39,4,33
CHRISTINE,19.12,6,25
ANGELA,30.48,6,10
HUI QI,16.06,5,17
JOY,17.28,11,29
RUOXIN,26.11,9,18
SUSAN,17.72,3,32
VICKI,25.19,1,3
DAVID,21.45,4,16
GRAZIELLA,22.91,12,15
COMSON,34.31,14,33
JING HENG,30.80,8,10
KEVIN,33.41,9,34
KAI,17.40,11,32
SYDNEY,20.94,6,10
DEAN,29.10,9,32
PETER,21.02,3,29
DAWSON,21.92,14,24
JASPER,16.79,3,26
MOLLY,19.32,2,16
KEANA,19.95,12,31
DREW,28.04,8,17
JUSTIN,26.51,2,25
ANABELLA,31.09,12,28
ZAMEEN,34.99,2,31
KIERA,29.06,9,26
AALIYAH,26.09,9,13
CK,27.70,9,30
STEVEN,15.15,5,29
TUNG YAN,19.15,1,22
SUBHAN,19.56,13,24
ALISON,33.31,4,20
